name,latitude,longitude
Adidas Outlet #1,40.961418,28.546651
Zara #2,40.844584,29.342648
Colin's #3,41.186832,29.23731
Mavi #4,41.175821,29.079362
Mavi #5,41.172384,28.991465
Nike Store #6,41.086951,28.808717
LCWaikiki #7,41.061162,29.123413
Mango #8,40.895576,28.70447
Stradivarius #9,41.076896,28.900262
LCWaikiki #10,40.982131,29.216332
Adidas Outlet #11,41.067254,28.870457
Defacto #12,40.891375,28.694605
Zara #13,41.182295,29.17291
H&M #14,40.893781,29.376994
Stradivarius #15,41.10305,28.628909
Colin's #16,40.838906,28.825379
Zara #17,40.975674,28.657556
H&M #18,40.834681,28.990916
Adidas Outlet #19,41.168425,28.995753
Colin's #20,40.934222,29.35705
LCWaikiki #21,40.944161,29.496749
LCWaikiki #22,40.868162,28.679586
Zara #23,40.975198,29.221791
Stradivarius #24,40.908793,28.979758
Nike Store #25,41.176096,28.766765
Zara #26,41.055648,29.4727
Mango #27,40.872738,29.448313
Pull&Bear #28,41.150809,28.64867
Zara #29,41.109818,28.505115
Defacto #30,40.859058,29.468803
